DATE,LREM64TTJPM156S
2015-04-01,73.15644
2015-05-01,73.20215999999999
2015-06-01,73.26501999999999
2015-07-01,73.31444
2015-08-01,73.38483000000001
2015-09-01,73.68576999999999
2015-10-01,73.8036
2015-11-01,73.72912
2015-12-01,73.84798
2016-01-01,74.04160999999999
2016-02-01,74.05194
2016-03-01,74.13811
2016-04-01,74.22764000000001
2016-05-01,74.25988000000001
2016-06-01,74.38715
2016-07-01,74.52343
2016-08-01,74.64884
2016-09-01,74.80505
2016-10-01,74.88438000000001
2016-11-01,74.72556999999999
2016-12-01,74.93279
2017-01-01,74.96544
2017-02-01,74.8661
2017-03-01,74.91721
2017-04-01,75.08698000000001
2017-05-01,75.13183000000001
2017-06-01,75.38075
2017-07-01,75.48513
2017-08-01,75.50291
2017-09-01,75.60932
2017-10-01,75.73002
2017-11-01,75.82218
2017-12-01,75.95605
2018-01-01,76.34758000000001
2018-02-01,76.38559000000001
2018-03-01,76.59170999999999
2018-04-01,76.74141999999999
2018-05-01,77.09894
2018-06-01,76.91597
2018-07-01,76.90438
2018-08-01,77.01671999999999
2018-09-01,77.17706
2018-10-01,77.31406
2018-11-01,77.45164
2018-12-01,77.36650999999999
2019-01-01,77.36462
2019-02-01,77.57513
2019-03-01,77.619
2019-04-01,77.56718000000001
2019-05-01,77.69492
2019-06-01,77.85986
2019-07-01,77.94694
2019-08-01,77.97829
2019-09-01,77.85358000000001
2019-10-01,78.08474
2019-11-01,78.09779
2019-12-01,78.12021999999999
2020-01-01,78.01061999999999
2020-02-01,78.1769
2020-03-01,78.00864
2020-04-01,77.10664
2020-05-01,77.05048000000001
2020-06-01,77.09156
2020-07-01,77.03593000000001
2020-08-01,77.26058
2020-09-01,77.19787
2020-10-01,77.28629000000001
2020-11-01,77.62778
2020-12-01,77.54002
2021-01-01,77.70109000000001
2021-02-01,77.79384
2021-03-01,77.82236
2021-04-01,77.86201
2021-05-01,77.74354
2021-06-01,77.79006
2021-07-01,78.05682
2021-08-01,78.01980999999999
2021-09-01,77.92773000000001
2021-10-01,77.86615
2021-11-01,77.87116999999999
2021-12-01,78.09145
2022-01-01,77.94395
2022-02-01,78.08054
2022-03-01,78.252
2022-04-01,78.55899000000001
2022-05-01,78.58662
2022-06-01,78.48056
2022-07-01,78.61664
2022-08-01,78.556
2022-09-01,78.63638
2022-10-01,78.68885
2022-11-01,78.47606999999999
2022-12-01,78.54388
2023-01-01,78.7562
2023-02-01,78.48509
2023-03-01,78.60242
2023-04-01,78.80811
2023-05-01,78.87058
2023-06-01,79.00764000000001
2023-07-01,78.89390999999999
2023-08-01,78.97429
2023-09-01,79.16056
2023-10-01,79.10181999999999
2023-11-01,79.27531
2023-12-01,79.36384
2024-01-01,79.23609
2024-02-01,79.1141
2024-03-01,79.03936999999999
2024-04-01,79.15896
2024-05-01,79.18404
2024-06-01,79.50796
2024-07-01,79.37997
